SERGIO MARTINEZ AGUERO 71529484J;
73890072A;(DNI_NIE)
86774538L;(DNI_NIE)
06774538L;(DNI_NIE)
Y7965543P;(DNI_NIE,IDENTIFICADOR)
93840293I;(Cadena de caracteres no identificada)
93840293O;(Cadena de caracteres no identificada)
938A0293P;(Cadena de caracteres no identificada)
986658J;(Cadena de caracteres no identificada)
93808760293P;(Cadena de caracteres no identificada)
K3840293P;(IDENTIFICADOR)
K38402913P;(IDENTIFICADOR)
K384023P;(IDENTIFICADOR)
23218;(Cadena de caracteres no identificada)
-350.12;(FLOAT)
.766;(FLOAT)
+25.1e30;(FLOAT)
-12.0E-5;(FLOAT)
200;(Cadena de caracteres no identificada)
2;(Cadena de caracteres no identificada)
xx3.lcs.mit.edu;(DOMINIO)
ingenierias.unileon.es;(DOMINIO)
SRI-NIC.ARPA;(DOMINIO)
SRI-NIC;(Cadena de caracteres no identificada)
1ngenierias.unileon.es;(Cadena de caracteres no identificada)
-ngenierias.unileon.es;(Cadena de caracteres no identificada)
1ngenieria-.unileon.es;(Cadena de caracteres no identificada)
1ngenie*ias.unileon.es;(Cadena de caracteres no identificada)
1234test@mail.ru;(EMAIL)
correo.buzon@estudiantes.unileon.es;(EMAIL)
@orreo.buzon@estudiantes.unileon.es;(Cadena de caracteres no identificada)
correo.buzon@estudiantes;(Cadena de caracteres no identificada)
correo.buzon@estudiantes@unileon.es;(Cadena de caracteres no identificada)
correo.buzon@estudiantes..es;(Cadena de caracteres no identificada)
variable1;(IDENTIFICADOR)
SUMatorio;(IDENTIFICADOR)
_acumulador;(IDENTIFICADOR)
x;(IDENTIFICADOR)
a1;(IDENTIFICADOR)
1variable;(Cadena de caracteres no identificada)
